name  log(RHI) log(VHI) log(VDMOmax) log(V200) log(VDMO200) log(Mstar) log(Mneut) log(Mgal) log(Mbar) log(MDMObar)
g4.36e09 -0.032 1.318 1.579 1.483 1.492 4.518 6.574 6.578 8.222 9.205
g4.99e09 -0.086 1.351 1.544 1.406 1.445 5.575 7.244 7.253 7.926 9.064
g5.22e09 -0.036 1.394 1.547 1.420 1.455 5.070 7.164 7.167 7.961 9.094
g5.41e09 -0.244 1.319 1.570 1.390 1.438 6.084 7.044 7.089 7.627 9.043
g5.59e09 -0.208 1.329 1.576 1.424 1.471 6.240 7.184 7.231 7.860 9.142
g5.84e09 -0.108 1.316 1.555 1.412 1.443 5.064 7.214 7.217 7.961 9.056
g7.05e09 -0.004 1.313 1.612 1.494 1.551 6.355 6.484 6.725 8.191 9.381
g7.34e09 -0.187 1.330 1.558 1.414 1.454 5.626 7.074 7.089 7.900 9.089
g9.26e09 0.097 1.404 1.535 1.416 1.470 4.730 6.884 6.887 8.052 9.138
g1.09e10 0.787 1.603 1.622 1.501 1.523 6.810 8.474 8.483 8.786 9.298
g1.18e10 0.068 1.441 1.624 1.500 1.541 6.531 7.524 7.566 8.312 9.352
g1.23e10 0.170 1.413 1.605 1.473 1.524 6.201 6.344 6.580 8.197 9.300
g1.44e10 0.610 1.679 1.676 1.563 1.596 6.826 8.884 8.888 9.042 9.517
g1.50e10 0.107 1.477 1.655 1.536 1.573 6.531 7.384 7.441 8.332 9.446
g1.57e10 -0.056 1.405 1.695 1.524 1.563 6.950 7.434 7.557 8.216 9.418
g1.88e10 0.562 1.622 1.715 1.578 1.618 7.215 8.224 8.264 8.418 9.583
g1.89e10 0.427 1.560 1.693 1.597 1.623 7.108 8.234 8.265 9.073 9.596
g1.90e10 0.500 1.538 1.684 1.614 1.645 7.077 8.154 8.189 8.891 9.662
g1.92e10 0.297 1.503 1.656 1.586 1.618 6.721 7.904 7.931 8.987 9.582
g1.95e10 0.049 1.443 1.665 1.533 1.565 6.581 7.634 7.671 8.477 9.422
g2.09e10 0.986 1.630 1.683 1.560 1.590 6.914 7.924 7.964 8.772 9.500
g2.34e10 0.367 1.483 1.737 1.623 1.654 7.133 7.344 7.552 8.767 9.690
g2.39e10 0.193 1.462 1.661 1.541 1.575 6.772 7.714 7.761 8.618 9.454
g2.63e10 0.158 1.551 1.803 1.630 1.671 7.631 7.344 7.812 8.555 9.741
g2.64e10 0.990 1.759 1.749 1.658 1.682 7.459 9.264 9.271 9.402 9.775
g2.80e10 0.549 1.634 1.777 1.634 1.703 7.565 8.504 8.551 9.058 9.837
g2.83e10 0.835 1.733 1.759 1.621 1.657 7.481 8.994 9.007 9.161 9.699
g2.94e10 0.348 1.574 1.793 1.656 1.689 7.764 7.684 8.027 8.812 9.797
g3.19e10 0.352 1.554 1.793 1.665 1.699 7.167 7.994 8.054 9.212 9.826
g3.44e10 1.128 1.754 1.799 1.719 1.759 7.797 8.874 8.909 9.644 10.005
g3.67e10 0.484 1.657 1.805 1.653 1.692 7.739 7.704 8.023 8.759 9.803
g3.93e10 0.852 1.674 1.733 1.659 1.675 7.567 8.974 8.991 9.355 9.755
g4.27e10 0.925 1.724 1.797 1.697 1.711 7.767 8.884 8.916 9.471 9.863
g4.48e10 0.849 1.755 1.837 1.748 1.771 8.122 8.924 8.988 9.476 10.042
g4.86e10 0.922 1.873 1.886 1.725 1.751 8.082 9.364 9.386 9.471 9.981
g4.94e10 0.648 1.743 1.867 1.728 1.759 8.033 8.524 8.645 9.268 10.005
g4.99e10 0.818 1.752 1.840 1.717 1.761 8.078 8.834 8.904 9.296 10.011
g5.05e10 0.580 1.724 1.874 1.698 1.771 7.971 8.274 8.449 9.051 10.041
g6.12e10 1.036 1.816 1.869 1.719 1.760 7.954 9.014 9.050 9.424 10.007
g6.37e10 1.236 1.875 1.877 1.839 1.852 8.310 9.674 9.692 10.043 10.283
g6.77e10 0.958 1.824 1.885 1.810 1.830 8.679 9.394 9.470 9.872 10.219
g6.91e10 0.876 1.858 1.931 1.770 1.803 8.396 8.734 8.898 9.322 10.138
g6.96e10 1.120 1.860 1.915 1.805 1.861 8.552 9.224 9.308 9.741 10.313
g8.89e10 0.931 1.897 1.915 1.809 1.845 8.601 9.414 9.476 9.794 10.262
g9.59e10 1.122 1.853 1.892 1.803 1.845 8.419 9.594 9.622 9.944 10.264
g1.05e11 1.083 1.908 1.939 1.844 1.870 8.744 9.554 9.616 9.932 10.338
g1.08e11 1.108 1.966 1.984 1.847 1.886 8.922 9.544 9.637 9.845 10.387
g1.37e11 0.876 1.990 2.036 1.877 1.908 9.303 9.284 9.594 9.787 10.452
g1.52e11 1.205 1.982 2.007 1.886 1.906 8.882 9.764 9.817 10.179 10.448
g1.57e11 1.040 1.926 1.986 1.886 1.914 9.053 9.714 9.800 10.050 10.471
g1.59e11 1.338 1.977 1.979 1.896 1.911 8.813 9.924 9.956 10.263 10.461
g1.64e11 1.184 1.990 1.965 1.917 1.936 8.944 10.044 10.077 10.385 10.536
g2.04e11 0.915 2.065 2.060 1.927 1.955 9.670 9.684 9.978 10.139 10.593
g2.19e11 0.980 1.917 1.949 1.860 1.886 8.961 9.564 9.661 10.039 10.387
g2.39e11 0.876 2.103 2.062 1.958 1.982 9.762 9.744 10.054 10.248 10.675
g2.41e11 0.981 2.060 2.095 1.955 1.998 9.610 9.804 10.019 10.232 10.723
g2.42e11 0.907 2.090 2.110 1.963 1.997 9.736 9.614 9.980 10.120 10.720
g2.54e11 0.931 2.057 2.063 1.963 2.009 9.540 9.884 10.046 10.305 10.756
g2.57e11 1.157 2.147 2.095 1.976 2.000 10.033 9.904 10.274 10.433 10.729
g3.06e11 0.930 2.124 2.095 1.985 2.017 9.868 9.874 10.172 10.392 10.779
g3.21e11 1.080 2.056 2.039 1.981 1.998 9.563 9.944 10.095 10.453 10.721
g3.23e11 1.141 1.869 1.902 1.804 1.848 8.544 9.644 9.677 9.953 10.272
g3.49e11 1.206 2.097 2.121 2.030 2.048 9.592 10.164 10.267 10.607 10.872
g3.55e11 1.318 2.112 2.091 2.029 2.039 9.575 10.324 10.395 10.635 10.846
g3.59e11 1.143 2.077 2.066 2.002 2.017 9.635 10.164 10.276 10.539 10.778
g3.61e11 1.172 2.226 2.172 2.032 2.061 10.333 9.964 10.487 10.567 10.910
g3.71e11 1.426 2.145 2.125 2.024 2.042 10.073 10.064 10.369 10.626 10.855
g5.02e11 1.356 2.188 2.153 2.074 2.093 10.162 10.294 10.534 10.731 11.008
g5.31e11 1.387 2.183 2.156 2.062 2.087 10.214 9.914 10.391 10.716 10.989
g5.36e11 1.116 2.193 2.182 2.101 2.138 10.063 10.284 10.488 10.816 11.143
g5.38e11 1.203 2.217 2.183 2.091 2.106 10.265 10.154 10.514 10.749 11.046
g5.46e11 1.161 2.080 2.075 1.991 2.040 9.572 10.064 10.185 10.446 10.848
g5.55e11 1.003 2.214 2.135 2.059 2.091 10.232 10.024 10.441 10.650 11.002
g6.96e11 1.137 2.278 2.206 2.122 2.159 10.513 10.374 10.750 10.936 11.207
g7.08e11 1.259 2.291 2.208 2.123 2.138 10.482 10.514 10.799 10.972 11.143
g7.44e11 1.212 2.257 2.210 2.178 2.168 10.253 10.754 10.873 11.157 11.232
g7.55e11 1.342 2.276 2.209 2.138 2.160 10.490 10.604 10.852 11.017 11.208
g7.66e11 1.036 2.365 2.228 2.143 2.155 10.771 10.074 10.850 11.006 11.194
g8.06e11 1.124 2.306 2.206 2.146 2.152 10.647 10.244 10.791 11.043 11.185
g8.13e11 1.568 2.308 2.265 2.152 2.168 10.824 10.304 10.939 11.060 11.231
g8.26e11 1.437 2.322 2.265 2.157 2.169 10.669 10.644 10.957 11.088 11.236
g8.28e11 1.288 2.270 2.218 2.176 2.172 10.245 10.684 10.819 11.152 11.244
g1.12e12 1.237 2.367 2.260 2.170 2.185 10.894 9.904 10.937 11.138 11.282
